MMS Id,subject_clean,genres
99118347201421.0,child literature american popular prose children juvenile young,"['Popular Culture & Media', 'Children & Young Adult']"
9927597611601420.0,child literature children juvenile young,['Children & Young Adult']
99228073301421.0,child literature education high children juvenile young education teaching,['Children & Young Adult']
99142252501421.0,child literature children juvenile young,['Children & Young Adult']
9943560901421.0,child literature children juvenile young,['Children & Young Adult']
9933188901421.0,toy and movable book child literature english children juvenile young,['Children & Young Adult']
9945261501421.0,book and read literature interest,['Holocaust & Jewish Studies']
9932780201421.0,wit and humor juvenile child children juvenile young comedy humor,"['Comedy & Humor', 'Children & Young Adult']"
9994682301421.0,child literature character and characteristic children juvenile young,['Children & Young Adult']
9927674936901420.0,child literature death and children juvenile young,['Children & Young Adult']
9927749500101420.0,child literature fantasy fiction fantastic the criticism interpretation etc children juvenile young,"['Science Fiction & Fantasy', 'Children & Young Adult']"
9987843701421.0,child literature history children juvenile young,['Children & Young Adult']
9924655430001420.0,child literature english american homicide crime popular culture and society social value murder children juvenile young,"['Popular Culture & Media', 'Children & Young Adult']"
99135491801421.0,child literature children juvenile young,['Children & Young Adult']
9994777801421.0,child literature children juvenile young,['Children & Young Adult']
99133575301421.0,child literature racism textbook children juvenile young,['Children & Young Adult']
9927715112801420.0,child literature american race racism children juvenile young,"['Journalism & Politics', 'Children & Young Adult']"
9957949701421.0,child literature sexism girl boy play toy children juvenile young,['Children & Young Adult']
9970576001421.0,child literature translate and interpreting children juvenile young,"['Holocaust & Jewish Studies', 'Children & Young Adult']"
9927814302501420.0,barry lynda child literature girl violence criticism interpretation etc children juvenile young,['Children & Young Adult']
9928292058101420.0,child literature young adult gender identity queer theory philosophical concept children juvenile young,"['Holocaust & Jewish Studies', 'Children & Young Adult']"
9970368001421.0,child literature children juvenile young,['Children & Young Adult']
9987836801421.0,infant child literature children juvenile young,['Children & Young Adult']
9927757312001420.0,child book literature illustrate print and read criticism interpretation etc history children juvenile young,"['Holocaust & Jewish Studies', 'Children & Young Adult']"
99111248101421.0,child literature children juvenile young,['Children & Young Adult']
9994680501421.0,child literature american children juvenile young,['Children & Young Adult']
99199507701421.0,child literature young adult children juvenile young,['Children & Young Adult']
9986645201421.0,child literature young adult fantasy children juvenile young,['Children & Young Adult']
9968362501421.0,child literature children juvenile young,['Children & Young Adult']
99133581501421.0,child literature children juvenile young,['Children & Young Adult']
9927686196401420.0,young adult literature teenager,['Children & Young Adult']
99144078701421.0,child literature children juvenile young,['Children & Young Adult']
9927838514001420.0,child literature illustrate book criticism interpretation etc children juvenile young,['Children & Young Adult']
9987838701421.0,child literature children juvenile young,['Children & Young Adult']
9984673301421.0,child literature children juvenile young,['Children & Young Adult']
99133851501421.0,literature child american african author artist americans black illustrator children juvenile young,['Children & Young Adult']
9927597604101420.0,child book literature children juvenile young,['Children & Young Adult']
99225571801421.0,illustrate child book literature illustration picture for children juvenile young,['Children & Young Adult']
99107391901421.0,child literature english children juvenile young,['Children & Young Adult']
99201515801421.0,child literature young adult read children juvenile young,['Children & Young Adult']
99149920601421.0,child literature children juvenile young,['Children & Young Adult']
9927769807501420.0,child literature narration rhetoric criticism interpretation etc children juvenile young,"['Poetry', 'Children & Young Adult']"
