Permanent Call Number,Barcode,Group 2,MMS Id,Subjects,Num of Items (In Repository)
PN0001 .A001 1000,12345678910100,Literary history,99118347201421,"Children's literature, American--Bibliography.; Children's literature, American--Themes, motives.; Popular literature--United States--Bibliography.; Children--United States--Books and reading.; American prose literature--Bibliography.; Children's literature--Authorship.; Popular literature--Authorship.; Prose literature--Authorship.",
PN0012 .A022 1022,12345678910123,Literary history,9927597611601420,Children's literature--Dictionaries.,
PN0023 .A003 11234,12345678910199,Literary history,99228073301421,"Children's literature--Study and teaching.; Children--Books and reading.; Education, Higher.",
PN1008 .W93 1998,31863007013273,Literary history,99142252501421,Children's literature--Study and teaching.; Children--Books and reading.,1
PN1008.5 .C37 2015,31864000867814,Literary history,9943560901421,Children--Books and reading; Children's literature--Moral and ethical aspects,1
PN1008.8 .B43 2011,31864000495939,Literary history,9933188901421,"Toy and movable books--Bibliography.; Children's literature, English--Bibliography.",1
PN1008.8 .T73 2008,31863007545217,Literary history,9945261501421,Books and reading; Literature--Study and teaching; Reading interests.,1
PN1009 .A1 G43 1994,31863002483984,Literary history,9932780201421,"Wit and humor, Juvenile--Bibliography.; Children--Books and reading",1
PN1009 .A1 M6 1993,31863001844871,Literary history,9994682301421,Children's literature--History and criticism.; Characters and characteristics in literature.; Children--Books and reading.,1
PN1009 .A1 P46 1994,31863003951526,Literary history,9927674936901420,Children's literature--History and criticism.; Death in literature.; Children and death.,1
PN1009 .Z6 F35 1993,31863001853153,Literary history,9927749500101420,"Children's literature--History and criticism.; Fantasy fiction--History and criticism.; Children's literature.; Fantastic, The, in literature.; Fantasy fiction.; Criticism, interpretation, etc.",1
PN1009.5.C43 N55 2003,31863006866556,Literary history,9987843701421,Children's literature--History and criticism.; Children--Books and reading.; History in literature.,1
PN1009.5.D43 G57 2016,31864000825077,Literary history,9924655430001420,"Children's literature, English--History and criticism.; Children's literature, American--History and criticism.; Homicide in literature.; Crime in popular culture--United States--History.; Literature and society--United States--History.; Social values in literature.; Murder in literature.",1
PN1009.5.F37 L48 2016,31864001250101,Literary history,99135491801421,Children's literature--Political aspects.; Children's literature--Social aspects.,1
PN1009.5.H57 P74 2003,31863006092468,Literary history,9994777801421,Children's literature--Psychological aspects.; Children's literature--Social aspects.,1
